epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9103,2.50501,7.73365,0.69833,1.57758,3.26076,0.98141,1,0.9948,0.42885,0,0,0,0,2.1822,8.03132,0.41621,1.04011,3.79726,0.000659259,0.000659259,0.000659259
2,35.2637,1.03556,5.39392,0.5136,0.63457,1.86073,0.98734,0.99512,0.99495,0.38849,0.23612,0.2439,0.08886,0.01203,2.18597,5.36035,0.20984,1.87872,2.7949,0.0013128,0.0013128,0.0013128
3,50.9839,0.7545,3.81922,0.45161,0.60794,1.57301,0.99784,0.99512,0.995,0.69205,0.96849,0.96585,0.95261,0.3157,1.18346,2.44818,0.25134,1.47319,2.39605,0.00195314,0.00195314,0.00195314
4,67.5058,0.65163,2.71397,0.43516,0.52961,1.41599,0.91428,0.98854,0.99214,0.62283,0.78344,0.84708,0.83507,0.28743,1.02435,2.06338,0.16729,3.40228,2.0259,0.0019406,0.0019406,0.0019406
5,83.0348,0.58852,2.30328,0.40142,0.50037,1.29962,0.97495,0.97561,0.9924,0.75649,0.96028,0.96098,0.96742,0.48523,1.02793,1.72652,0.40195,0.70511,1.86586,0.0019208,0.0019208,0.0019208
6,99.3647,0.54208,2.08283,0.37198,0.47685,1.28781,0.9926,0.99512,0.99485,0.68564,0.96095,0.96031,0.97211,0.61027,1.26271,1.73473,0.15642,0.71594,1.91181,0.001901,0.001901,0.001901
7,115.002,0.56687,2.05246,0.3627,0.48407,1.25329,0.99029,0.99453,0.99476,0.65707,0.92687,0.93171,0.96344,0.5007,1.1073,1.78429,0.18727,0.84767,1.89219,0.0018812,0.0018812,0.0018812
8,130.965,0.54242,1.96807,0.35504,0.46146,1.23457,0.98747,0.99512,0.9948,0.75198,0.98747,0.99512,0.9948,0.70076,0.96434,1.15718,0.11043,0.70086,1.64592,0.0018614,0.0018614,0.0018614
9,146.134,0.50709,1.8115,0.32784,0.42219,1.19465,1,0.99921,0.995,0.75882,0.99908,0.99512,0.995,0.7157,0.96681,1.13491,0.27364,0.49385,1.5506,0.0018416,0.0018416,0.0018416
10,162.24,0.48039,1.8215,0.32188,0.42768,1.15949,0.99335,1,0.99495,0.71901,1,0.99857,0.995,0.69238,1.07763,1.17818,0.14729,0.6513,1.74517,0.0018218,0.0018218,0.0018218
11,177.564,0.47824,1.65757,0.28903,0.40101,1.16353,0.99048,0.99512,0.99417,0.74842,0.98563,0.99024,0.99342,0.66956,0.93589,1.20217,0.23685,0.64211,1.48109,0.001802,0.001802,0.001802
12,193.483,0.44415,1.63656,0.29997,0.38077,1.14072,0.98754,0.99024,0.99451,0.75399,0.98359,0.98537,0.99436,0.66369,0.99575,1.15646,0.18429,0.64741,1.53707,0.0017822,0.0017822,0.0017822
13,208.772,0.45324,1.57532,0.2939,0.38655,1.14303,0.99512,0.99391,0.99373,0.78288,1,0.99878,0.995,0.73417,0.95636,1.04465,0.24534,0.51283,1.50175,0.0017624,0.0017624,0.0017624
14,225.113,0.41948,1.55088,0.27983,0.36172,1.10422,0.99032,1,0.995,0.77754,0.98959,1,0.99184,0.69817,0.9575,1.21208,0.10786,0.65759,1.46693,0.0017426,0.0017426,0.0017426
15,241.109,0.42722,1.57381,0.2872,0.36121,1.09581,0.98085,0.99926,0.99461,0.7534,0.97895,0.99512,0.98969,0.66159,0.95407,1.15946,0.35153,0.68912,1.42268,0.0017228,0.0017228,0.0017228
16,256.974,0.40824,1.48491,0.28955,0.36171,1.09668,0.98754,1,0.99178,0.80674,0.98754,1,0.99495,0.7352,0.83615,1.03344,0.13177,0.52173,1.28009,0.001703,0.001703,0.001703
17,272.419,0.42568,1.45961,0.26882,0.36898,1.09641,0.9832,1,0.9944,0.84124,0.97361,0.99024,0.99366,0.74166,0.70603,1.05345,0.10606,0.57139,1.14278,0.0016832,0.0016832,0.0016832
18,288.027,0.41758,1.47673,0.26838,0.37382,1.0974,0.99439,1,0.9949,0.80757,0.99439,1,0.99485,0.71832,0.88766,1.0603,0.2358,0.61074,1.42293,0.0016634,0.0016634,0.0016634
19,303.754,0.4047,1.55759,0.27748,0.36989,1.08443,0.99557,1,0.995,0.76064,0.99392,1,0.99495,0.66237,0.87197,1.14145,0.16014,0.5414,1.34325,0.0016436,0.0016436,0.0016436
20,319.655,0.39292,1.35343,0.26094,0.34514,1.09864,0.99511,1,0.995,0.76564,0.9937,1,0.99466,0.77658,0.87513,0.89873,0.22623,0.6116,1.37577,0.0016238,0.0016238,0.0016238
21,335.351,0.37618,1.35709,0.26885,0.33377,1.06017,0.98539,0.98727,0.99466,0.82739,0.9854,0.98764,0.99426,0.75522,0.81638,0.96593,0.29204,0.58727,1.34836,0.001604,0.001604,0.001604
22,351.027,0.38605,1.30217,0.25793,0.31069,1.06633,0.98015,0.99512,0.9949,0.85153,0.97914,0.99512,0.99466,0.79475,0.73263,0.92172,0.1384,0.56395,1.22049,0.0015842,0.0015842,0.0015842
23,366.839,0.37492,1.29888,0.27112,0.324,1.0781,0.94749,1,0.99257,0.84314,0.94749,1,0.99266,0.69726,0.7685,1.12448,0.11866,0.60636,1.29383,0.0015644,0.0015644,0.0015644
24,382.335,0.3771,1.28308,0.2503,0.32393,1.07049,0.99514,0.9982,0.995,0.80265,0.99031,0.9972,0.9949,0.79137,0.81192,0.88098,0.22935,0.6822,1.27321,0.0015446,0.0015446,0.0015446
25,398.369,0.33694,1.2285,0.25419,0.29247,1.04183,0.99382,1,0.995,0.80834,0.99369,1,0.99184,0.82646,0.76393,0.79779,0.13473,0.50478,1.27539,0.0015248,0.0015248,0.0015248
26,413.694,0.34026,1.17597,0.24909,0.29295,1.04398,0.99383,1,0.99495,0.84001,0.99383,1,0.99422,0.7637,0.73899,0.90772,0.13105,0.65137,1.25684,0.001505,0.001505,0.001505
27,429.69,0.34504,1.17866,0.25274,0.29881,1.05217,0.98768,0.99024,0.99495,0.85074,0.98993,1,0.99495,0.77455,0.71128,0.8384,0.19608,0.65206,1.23327,0.0014852,0.0014852,0.0014852
28,444.943,0.33332,1.03957,0.2416,0.28444,1.05574,0.99514,0.99979,0.99495,0.8256,0.99707,1,0.995,0.80137,0.80611,0.88815,0.10488,0.60391,1.32346,0.0014654,0.0014654,0.0014654
29,460.877,0.3515,1.24932,0.24579,0.30889,1.04471,0.99495,1,0.99466,0.83193,0.99665,1,0.995,0.74429,0.78846,0.99841,0.2679,0.61381,1.33517,0.0014456,0.0014456,0.0014456
30,476.123,0.3451,1.1194,0.24683,0.28948,1.0467,0.98921,0.99512,0.995,0.85477,0.99385,1,0.995,0.79342,0.7335,0.78369,0.10377,0.59787,1.22258,0.0014258,0.0014258,0.0014258
31,492.09,0.35109,1.09289,0.23217,0.27442,1.05421,0.99189,0.99512,0.995,0.87954,0.99649,1,0.995,0.80198,0.60859,0.81699,0.16694,0.63568,1.17012,0.001406,0.001406,0.001406
32,507.398,0.35966,1.05671,0.23604,0.2735,1.06326,0.99399,1,0.99476,0.86476,0.99527,1,0.995,0.76847,0.6641,0.96399,0.10216,0.50055,1.16031,0.0013862,0.0013862,0.0013862
33,523.929,0.31911,1.10757,0.2325,0.24971,1.03996,0.98876,1,0.99108,0.85974,0.99034,0.99976,0.99476,0.83375,0.69398,0.73888,0.14915,0.46319,1.18815,0.0013664,0.0013664,0.0013664
34,539.262,0.33051,1.08422,0.2355,0.26325,1.03808,0.99329,0.99512,0.99476,0.85272,0.99816,1,0.995,0.85064,0.72829,0.69063,0.1661,0.58788,1.26027,0.0013466,0.0013466,0.0013466
35,555.429,0.32499,0.97385,0.22568,0.26025,1.03461,0.99305,1,0.99306,0.85547,0.99305,1,0.99461,0.85014,0.67628,0.70063,0.13974,0.60313,1.16759,0.0013268,0.0013268,0.0013268
36,571.193,0.32358,1.01752,0.23808,0.24854,1.03665,0.99984,1,0.995,0.87397,0.99436,1,0.995,0.83875,0.66379,0.66809,0.15749,0.56825,1.18449,0.001307,0.001307,0.001307
37,587.524,0.30818,0.98625,0.23422,0.23944,1.02846,0.99784,1,0.995,0.8503,0.99506,1,0.995,0.83943,0.68533,0.70086,0.12417,0.57051,1.19972,0.0012872,0.0012872,0.0012872
38,603.516,0.31175,1.01246,0.2481,0.24239,1.01953,0.98814,1,0.99451,0.85863,0.98814,1,0.9949,0.825,0.66507,0.7581,0.12594,0.57471,1.17645,0.0012674,0.0012674,0.0012674
39,619.225,0.32084,1.00256,0.24084,0.23758,1.01901,0.99456,1,0.99485,0.83102,0.99456,1,0.9949,0.82917,0.73267,0.70282,0.13792,0.62094,1.33739,0.0012476,0.0012476,0.0012476
40,635.052,0.31306,0.94395,0.22066,0.23441,1.01068,0.99465,1,0.99495,0.88335,0.99465,1,0.995,0.84751,0.61507,0.61412,0.12112,0.66057,1.15864,0.0012278,0.0012278,0.0012278
41,650.807,0.31734,0.93007,0.20707,0.23976,1.02303,0.9948,1,0.99476,0.87305,0.9948,1,0.99495,0.85572,0.66171,0.6407,0.1054,0.60105,1.15923,0.001208,0.001208,0.001208
42,666.629,0.29989,0.95176,0.22291,0.22368,0.99725,0.99428,1,0.99058,0.85673,0.99428,1,0.99432,0.82748,0.64151,0.6875,0.14277,0.6352,1.20475,0.0011882,0.0011882,0.0011882
43,682.003,0.31077,0.92009,0.21107,0.23682,1.02568,0.99353,1,0.995,0.88943,0.99353,1,0.995,0.85381,0.60975,0.65807,0.17991,0.5508,1.16796,0.0011684,0.0011684,0.0011684
44,697.059,0.30271,0.96406,0.21426,0.23617,1.02244,0.99802,1,0.995,0.88715,0.99477,1,0.995,0.82299,0.56978,0.68661,0.14928,0.65707,1.06527,0.0011486,0.0011486,0.0011486
45,712.382,0.30466,0.91513,0.2075,0.22225,1.01885,0.99615,1,0.995,0.88603,0.99485,1,0.99277,0.8354,0.56392,0.6879,0.1165,0.68582,1.09128,0.0011288,0.0011288,0.0011288
46,727.51,0.30704,0.94629,0.21486,0.24975,1.00197,0.99485,1,0.995,0.84385,0.99882,1,0.995,0.81132,0.75151,0.74427,0.10236,0.57085,1.25969,0.001109,0.001109,0.001109
47,742.689,0.30698,0.88575,0.20653,0.23504,1.02732,0.99483,1,0.995,0.88756,0.99912,1,0.995,0.7975,0.5737,0.71262,0.1485,0.56792,1.06132,0.0010892,0.0010892,0.0010892
48,758.024,0.2968,0.89718,0.22578,0.22772,1.00205,0.99452,1,0.9916,0.86215,0.99452,1,0.99471,0.86936,0.60633,0.60434,0.1294,0.72619,1.17201,0.0010694,0.0010694,0.0010694
49,773.231,0.3018,0.84935,0.20476,0.24104,1.01627,0.99001,1,0.99417,0.88059,0.99013,1,0.995,0.8594,0.58437,0.6511,0.10651,0.54073,1.02552,0.0010496,0.0010496,0.0010496
50,788.339,0.27942,0.8419,0.21204,0.2123,1.00493,0.99467,1,0.995,0.86517,0.99447,1,0.99476,0.84814,0.63707,0.61205,0.17482,0.70327,1.18964,0.0010298,0.0010298,0.0010298
51,803.672,0.28572,0.79929,0.20683,0.21801,1.00376,0.9951,1,0.995,0.88566,0.99404,1,0.995,0.84433,0.58835,0.61522,0.09866,0.74312,1.15567,0.00101,0.00101,0.00101
52,818.936,0.28472,0.86655,0.20595,0.21748,0.99321,0.99434,1,0.995,0.85235,0.99489,1,0.995,0.8544,0.60913,0.63549,0.18016,0.76369,1.1779,0.0009902,0.0009902,0.0009902
53,834.195,0.28967,0.83255,0.21598,0.21572,0.99896,0.99967,1,0.995,0.88474,0.99514,0.99972,0.99481,0.8364,0.57128,0.6892,0.11653,0.59696,1.09995,0.0009704,0.0009704,0.0009704
54,849.509,0.31081,0.80519,0.1948,0.23131,1.03552,0.99315,1,0.99325,0.87754,0.99379,1,0.995,0.84929,0.55916,0.6399,0.13098,0.51675,1.1465,0.0009506,0.0009506,0.0009506
55,864.647,0.28481,0.79136,0.21321,0.22099,1.01205,0.99439,1,0.99248,0.85248,0.99439,1,0.99495,0.87715,0.65859,0.5972,0.10383,0.66703,1.1502,0.0009308,0.0009308,0.0009308
56,880.067,0.27646,0.82965,0.20929,0.2001,1.00289,0.99667,1,0.995,0.90009,0.99034,0.99999,0.995,0.86274,0.57403,0.59682,0.12221,0.45893,1.05785,0.000911,0.000911,0.000911
57,895.605,0.29237,0.85696,0.21919,0.2127,0.99709,0.99412,1,0.99471,0.89045,0.99412,1,0.99495,0.84058,0.57675,0.66408,0.16197,0.74693,1.11686,0.0008912,0.0008912,0.0008912
58,910.865,0.27661,0.77764,0.20346,0.20574,1.00796,0.99721,1,0.995,0.8955,0.99461,1,0.995,0.85675,0.53513,0.63098,0.13448,0.70098,1.05091,0.0008714,0.0008714,0.0008714
59,926.202,0.28607,0.81972,0.21436,0.21786,1.00881,0.99893,1,0.995,0.88651,0.99502,1,0.995,0.87882,0.57358,0.57262,0.0977,0.62929,1.037,0.0008516,0.0008516,0.0008516
60,941.503,0.27143,0.79284,0.22097,0.19763,0.99095,0.99943,1,0.995,0.86271,0.99513,0.99737,0.995,0.86988,0.57279,0.58756,0.15087,0.76326,1.13435,0.0008318,0.0008318,0.0008318
61,956.702,0.26584,0.79683,0.20804,0.20012,0.99477,0.99417,1,0.99485,0.86166,0.99417,1,0.995,0.88239,0.70492,0.59084,0.13056,0.68455,1.27067,0.000812,0.000812,0.000812
62,972.048,0.27318,0.75365,0.20192,0.19796,0.98382,0.99484,1,0.9949,0.89011,0.99484,1,0.9949,0.87901,0.55388,0.58432,0.14311,0.59777,1.05333,0.0007922,0.0007922,0.0007922
63,987.515,0.25546,0.80461,0.19334,0.18822,0.97786,0.99697,1,0.995,0.90281,0.9949,1,0.995,0.88385,0.53084,0.56715,0.11157,0.66042,1.04422,0.0007724,0.0007724,0.0007724
64,1003.23,0.27453,0.78215,0.20484,0.21466,0.9987,0.99488,1,0.995,0.85481,0.9948,1,0.995,0.87659,0.63879,0.60275,0.09718,0.62028,1.17758,0.0007526,0.0007526,0.0007526
65,1018.64,0.2581,0.75306,0.1978,0.19542,0.98273,0.99644,1,0.995,0.87275,0.99446,1,0.995,0.86775,0.60036,0.57638,0.11259,0.64911,1.11936,0.0007328,0.0007328,0.0007328
66,1033.96,0.25268,0.75809,0.19801,0.19208,0.96861,0.9948,1,0.995,0.83822,0.9948,1,0.99466,0.87529,0.62522,0.58852,0.10684,0.57933,1.18087,0.000713,0.000713,0.000713
67,1049.78,0.24974,0.7566,0.20792,0.18818,0.98513,0.99485,1,0.995,0.88471,0.99485,1,0.99398,0.85996,0.53242,0.59516,0.13395,0.87505,1.10567,0.0006932,0.0006932,0.0006932
68,1064.97,0.24605,0.7453,0.20511,0.18521,0.97679,0.99483,1,0.995,0.89454,0.99624,1,0.995,0.8861,0.55126,0.5721,0.09342,0.68725,1.08644,0.0006734,0.0006734,0.0006734
69,1080.39,0.25531,0.74129,0.19858,0.17934,0.98832,0.99862,1,0.995,0.88946,0.99488,1,0.99476,0.89315,0.56328,0.5396,0.11184,0.61837,1.03921,0.0006536,0.0006536,0.0006536
70,1095.53,0.24682,0.76901,0.1917,0.185,0.96673,0.99484,1,0.995,0.90387,0.99484,1,0.99296,0.89773,0.53788,0.52761,0.09632,0.5071,1.00114,0.0006338,0.0006338,0.0006338
71,1110.74,0.24508,0.70085,0.19914,0.1831,0.97536,0.99927,1,0.995,0.88485,0.99496,1,0.99485,0.86375,0.55592,0.58534,0.13338,0.65753,1.04587,0.000614,0.000614,0.000614
72,1125.89,0.25312,0.72984,0.19616,0.18718,0.96648,0.99938,1,0.995,0.87891,0.9951,1,0.99437,0.87404,0.57196,0.56139,0.11493,0.70488,1.127,0.0005942,0.0005942,0.0005942
73,1141.28,0.23594,0.7259,0.1945,0.17604,0.95834,0.99948,1,0.995,0.90779,0.99515,0.99998,0.995,0.89223,0.5309,0.52872,0.11867,0.67723,1.06825,0.0005744,0.0005744,0.0005744
74,1156.45,0.2508,0.70616,0.18663,0.18446,0.97841,0.9994,1,0.995,0.89922,0.99515,0.99997,0.99476,0.89001,0.54554,0.5273,0.09536,0.66614,1.06537,0.0005546,0.0005546,0.0005546
75,1171.82,0.24008,0.68302,0.19013,0.1835,0.96144,0.99963,1,0.995,0.8849,0.99514,0.99977,0.99456,0.89027,0.61253,0.5313,0.09632,0.6287,1.11942,0.0005348,0.0005348,0.0005348
76,1187.16,0.24162,0.70406,0.20094,0.17823,0.96642,0.99895,1,0.995,0.8869,0.99507,1,0.99417,0.87786,0.57385,0.55215,0.1004,0.70658,1.08949,0.000515,0.000515,0.000515
77,1202.92,0.23721,0.67599,0.185,0.17248,0.96193,0.99956,1,0.995,0.90623,0.99515,0.99991,0.995,0.87234,0.52689,0.55942,0.1133,0.75028,1.06999,0.0004952,0.0004952,0.0004952
78,1218.22,0.23927,0.69706,0.18934,0.16488,0.96929,0.99963,1,0.995,0.92077,0.99514,0.9998,0.995,0.89158,0.48183,0.54486,0.12086,0.78278,1.01797,0.0004754,0.0004754,0.0004754
79,1233.95,0.23378,0.67771,0.17861,0.17645,0.96489,0.99904,1,0.995,0.91609,0.99498,1,0.99495,0.89564,0.4947,0.52373,0.08263,0.72992,1.01255,0.0004556,0.0004556,0.0004556
80,1249.1,0.23806,0.66746,0.19258,0.17213,0.97586,0.99949,1,0.995,0.90385,0.99515,0.99991,0.995,0.89192,0.52083,0.53627,0.0883,0.67304,1.02154,0.0004358,0.0004358,0.0004358
81,1264.44,0.22751,0.65731,0.19679,0.16684,0.94772,0.99941,1,0.995,0.90633,0.99515,0.99997,0.99461,0.89248,0.50542,0.53517,0.10697,0.71586,1.04459,0.000416,0.000416,0.000416
82,1280.01,0.2367,0.69035,0.18162,0.17369,0.96091,0.99965,1,0.995,0.90996,0.99514,0.99976,0.99408,0.89387,0.51208,0.53132,0.09266,0.67801,1.0358,0.0003962,0.0003962,0.0003962
83,1295.33,0.23237,0.68049,0.18077,0.17023,0.97335,0.99962,1,0.995,0.92442,0.99514,0.9998,0.9949,0.89595,0.49306,0.51994,0.08978,0.54782,0.98144,0.0003764,0.0003764,0.0003764
84,1310.72,0.22758,0.67536,0.19155,0.16345,0.95562,0.99946,1,0.995,0.90626,0.99515,0.99999,0.99495,0.8909,0.51982,0.52832,0.12475,0.60187,1.02948,0.0003566,0.0003566,0.0003566
85,1326.09,0.22512,0.67055,0.1943,0.1693,0.9463,0.99962,1,0.995,0.88307,0.99514,0.99983,0.995,0.88992,0.59644,0.52636,0.08586,0.65463,1.11039,0.0003368,0.0003368,0.0003368
86,1341.66,0.21931,0.61296,0.1757,0.16108,0.96496,0.99973,1,0.995,0.90044,0.99514,0.99972,0.995,0.8895,0.52371,0.53381,0.09571,0.70975,1.0213,0.000317,0.000317,0.000317
87,1357.19,0.2145,0.66105,0.19142,0.1521,0.93094,0.9997,1,0.995,0.91032,0.99514,0.99974,0.99481,0.89662,0.50965,0.53152,0.0918,0.70305,1.02554,0.0002972,0.0002972,0.0002972
88,1372.47,0.21792,0.68783,0.17626,0.15817,0.94837,0.99961,1,0.995,0.91946,0.99514,0.99983,0.995,0.9012,0.48285,0.51923,0.08708,0.5889,0.9864,0.0002774,0.0002774,0.0002774
89,1388.14,0.20973,0.62882,0.17755,0.15512,0.95535,0.99854,1,0.995,0.91967,0.99491,1,0.99476,0.8852,0.4764,0.54199,0.0948,0.67402,0.99189,0.0002576,0.0002576,0.0002576
90,1403.59,0.2107,0.63882,0.18856,0.14946,0.9391,0.99914,1,0.995,0.9244,0.995,1,0.99427,0.89454,0.46226,0.52174,0.09789,0.68093,0.9728,0.0002378,0.0002378,0.0002378
91,1454.8,0.22023,0.64157,0.17727,0.15537,0.94027,0.99946,1,0.995,0.91679,0.99511,1,0.99427,0.88645,0.47588,0.53971,0.09294,0.66779,0.98535,0.000218,0.000218,0.000218
92,1469.23,0.21839,0.60582,0.18085,0.1587,0.94231,0.99957,1,0.995,0.91294,0.99514,0.99986,0.99476,0.89342,0.50232,0.52964,0.10424,0.73139,1.03286,0.0001982,0.0001982,0.0001982
93,1483.59,0.20976,0.60424,0.17737,0.15282,0.95785,0.99903,1,0.995,0.90557,0.99497,1,0.99485,0.89013,0.52336,0.52799,0.10715,0.76462,1.04323,0.0001784,0.0001784,0.0001784
94,1499.71,0.20449,0.62673,0.17643,0.14707,0.9226,0.99911,1,0.995,0.91265,0.995,1,0.99466,0.89356,0.51894,0.52892,0.09381,0.75445,1.04385,0.0001586,0.0001586,0.0001586
95,1514.61,0.19983,0.64473,0.17251,0.14592,0.94401,0.99901,1,0.995,0.91819,0.99497,1,0.9949,0.89548,0.49052,0.52058,0.08874,0.71103,1.01005,0.0001388,0.0001388,0.0001388
96,1529.76,0.19556,0.62459,0.17248,0.14573,0.92646,0.9991,1,0.995,0.9157,0.99499,1,0.99481,0.89387,0.49579,0.52485,0.10146,0.74552,1.01146,0.000119,0.000119,0.000119
97,1544.76,0.20432,0.62201,0.17869,0.14765,0.9319,0.99911,1,0.995,0.9165,0.99499,1,0.99495,0.89928,0.49313,0.51009,0.08157,0.69255,0.99611,9.92e-05,9.92e-05,9.92e-05
98,1564.14,0.20108,0.61543,0.18198,0.14217,0.94883,0.99921,1,0.995,0.92097,0.99501,1,0.995,0.90003,0.48427,0.51056,0.08262,0.68457,0.97846,7.94e-05,7.94e-05,7.94e-05
99,1580,0.20572,0.60698,0.18178,0.14766,0.94546,0.99894,1,0.995,0.91949,0.99496,1,0.995,0.90051,0.47549,0.51099,0.09217,0.7075,0.98301,5.96e-05,5.96e-05,5.96e-05
100,1595.93,0.19428,0.60219,0.17166,0.13883,0.93211,0.9986,1,0.995,0.9179,0.99493,1,0.995,0.90098,0.48337,0.51049,0.09232,0.72155,0.99328,3.98e-05,3.98e-05,3.98e-05
